"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.37",0.989899122590549,0.991389919428156,0.927437561332561,0.948654684178169,49.5690317153931,217.762038707733,0.000375747680664062,92.4991166591644
"result.38",0.989534628427336,0.991031078973802,0.921835774177588,0.949286670929149,21.7089638710022,194.813267707825,0.000283479690551758,91.5416259765625
"result.39",0.989387338944791,0.990384088673587,0.930565424401647,0.944523728636774,23.2923555374146,190.484646081924,0.000247001647949219,96.7891759872437
"result.40",0.990312823880896,0.991985587028512,0.930126600073557,0.948165062318769,26.6679818630219,211.610397577286,0.000247001647949219,93.7994410991669
"result.41",0.988495549544914,0.991231138122468,0.927723001911976,0.948492868716861,21.9411523342133,193.21689248085,0.000254631042480469,91.1632628440857
"result.42",0.989601771709654,0.990854506983867,0.921229085266929,0.947479356519733,24.2353422641754,205.64644742012,0.000198602676391602,76.6836595535278
"result.43",0.988469658711745,0.990395301170121,0.922428587010872,0.948935037999198,23.277379989624,185.701349258423,0.00022435188293457,93.8795154094696
"result.44",0.990124897115004,0.991000652367725,0.937105813144593,0.943736073202854,31.9621818065643,191.467552900314,0.000267505645751953,93.179628610611
"result.45",0.989109082932336,0.991593773859845,0.92757041179679,0.954288816315528,20.3911957740784,194.68154835701,0.000230312347412109,83.3069794178009
"result.46",0.989437256268842,0.991979872330728,0.92658761025238,0.949458577781462,19.8248522281647,207.058437824249,0.000265598297119141,104.514462947845
"result.47",0.989415419218395,0.992161107687798,0.914818189100556,0.954427127735482,18.54927277565,194.723240613937,0.000308036804199219,102.880895376205
"result.48",0.989493419885709,0.990865510667893,0.929767325889314,0.944948090660564,23.8979382514954,194.581526279449,0.00036931037902832,92.3107862472534
"result.49",0.989488211495998,0.991311256708725,0.924183896498065,0.950247755959043,21.5717144012451,204.501467227936,0.000254631042480469,83.386018037796
"result.50",0.989439367241704,0.991184101112997,0.92006584819897,0.943493779862175,22.8928143978119,209.616258144379,0.00030970573425293,83.3354914188385
"result.51",0.989469750662144,0.991312446122577,0.924943428052409,0.946413260967683,20.9509608745575,203.20765042305,0.000249624252319336,94.723464012146
"result.52",0.990023959352586,0.990675051093722,0.927018468062766,0.947211559546067,22.0781447887421,195.525758504868,0.000280380249023438,83.9665400981903
"result.53",0.987937413379078,0.989932930272466,0.922403058619473,0.949080361145991,24.4910922050476,188.924884080887,0.000245571136474609,84.3585863113403
"result.54",0.991377835008168,0.992339320930588,0.923259488820882,0.94852803109143,31.8549492359161,196.345731019974,0.00133705139160156,95.5046682357788
"result.55",0.9892881967253,0.991383131978507,0.925079881310259,0.947969922448998,21.031852722168,194.437567472458,0.0001983642578125,86.9430656433105
"result.56",0.989935129926036,0.991452265256109,0.929224797713316,0.947880686988053,20.1635746955872,203.126100540161,0.000226259231567383,78.0355987548828
"result.57",0.98894447794939,0.991408567445193,0.924817658000062,0.936638098662864,17.9523909091949,194.850791454315,0.000302314758300781,99.4283928871155
"result.58",0.990028022720646,0.991570092737326,0.931691987548179,0.943456606427992,20.2210178375244,200.127589941025,0.000340938568115234,92.1810030937195
"result.59",0.988661658556167,0.990616991785876,0.929022030727642,0.936869703634337,26.3783869743347,187.317675113678,0.000224113464355469,80.6471524238586
"result.60",0.989782856957475,0.991964893659258,0.934449541799993,0.947726170792034,19.8543887138367,204.857358932495,0.000268459320068359,84.3934729099274
"result.61",0.990226724758925,0.991210306988997,0.923180134382958,0.939760744846839,24.4052646160126,194.667352199554,0.000275135040283203,79.8950502872467
"result.62",0.989711490045211,0.991763941081223,0.927027985310335,0.94405306810887,22.3119282722473,197.919004201889,0.0010368824005127,79.8621361255646
"result.63",0.990282576902529,0.991858968114733,0.926926285751711,0.954856409399191,22.5515027046204,197.014243602753,0.00112295150756836,83.6928083896637
"result.64",0.990091079497641,0.991653515459876,0.91707498202941,0.941057092952915,21.9699387550354,204.904799222946,0.000580310821533203,85.0249910354614
"result.65",0.98932032629388,0.991516603948684,0.927999460954058,0.943094840372003,26.8617126941681,232.21936750412,0.000435829162597656,82.9809858798981
"result.66",0.989685775564391,0.991224596543189,0.922565093247089,0.937356128209668,19.7946817874908,193.798162698746,0.000240802764892578,85.1187915802002
"result.67",0.989748075002493,0.991924833219009,0.923595192472308,0.949903066023159,25.1281044483185,196.950207948685,0.000235557556152344,86.530277967453
"result.68",0.988193371473799,0.991326730350832,0.920044897727672,0.941002274804846,19.2759737968445,196.121879339218,0.000334262847900391,83.7619326114655
"result.69",0.989487829927519,0.991228748866113,0.92735395921635,0.949837120016313,31.9470703601837,232.6910572052,0.00021815299987793,84.0957005023956
"result.70",0.990132232430754,0.992099249615355,0.920085270291393,0.954592972537692,24.4050414562225,200.402271509171,0.000268459320068359,85.2007493972778
"result.71",0.988360267390341,0.990714993124424,0.93040862943581,0.935895835000663,20.6704704761505,187.867787361145,0.000251531600952148,85.9884076118469
"result.72",0.989906701083947,0.991596665053562,0.924389322207401,0.943118886291259,18.8589186668396,204.801435709,0.000259160995483398,97.3358478546143
"result.73",0.99054714193339,0.991761323942499,0.931721351003284,0.953780829971678,22.3065781593323,196.873174667358,0.000205278396606445,85.5381400585175
"result.74",0.990136722631708,0.991416657457452,0.933281451335352,0.938561083460444,18.058825969696,198.584490776062,0.000259876251220703,83.7339959144592
"result.75",0.988893351431719,0.992182625437392,0.927231379839248,0.946345787833019,33.0646107196808,212.294007062912,0.000246286392211914,80.3143668174744
"result.76",0.98910492601509,0.9897061846549,0.926385865201803,0.950960449494964,21.5805358886719,195.254033565521,0.000248193740844727,86.0622627735138
"result.77",0.989773473684212,0.991116151664397,0.927188057301471,0.942592763781713,18.6538779735565,195.971812009811,0.000244617462158203,90.4129106998444
"result.78",0.98992688849645,0.991023942705648,0.926005259243361,0.950995583040459,21.0530781745911,204.641747951508,0.000249624252319336,85.4315524101257
"result.79",0.988898644273342,0.990472359787177,0.927431053310566,0.942467067836001,19.6115097999573,188.172916173935,0.000565052032470703,80.2049143314362
"result.80",0.98837398363684,0.990905826191124,0.930810174420054,0.942541612825322,19.1837265491486,209.195255994797,0.000257968902587891,81.5673053264618
"result.81",0.989517009736957,0.991222232911789,0.924156898999241,0.941695784270381,20.0813407897949,199.068333148956,0.000884294509887695,84.173924446106
"result.82",0.989555103385287,0.992769195443486,0.924472601424869,0.944254925741145,20.2798392772675,201.613984823227,0.000237464904785156,75.9003922939301
