Mark.Center_Seminary.Rd,Janneys.Ln_Seminary.Rd,Janneys.Ln_King.St.Metro,Braddock.Metro_Russell.Rd,Glebe.Rd_Russell.Rd,Glebe.Rd_Pentagon.Metro,Braddock.Metro_Cameron.Mills.Dr,Cameron.Mills.Dr_Parkfairfax,Parkfairfax_Pentagon.Metro,Van.Dorn.Metro_Whiting.St,Duke.St_Whiting.St,Duke.St_King.St.Metro,King.St.Metro_Old.Town.Circulator,Braddock.Metro_Old.Town.Circulator,King.St.Metro_NVCC,Landmark_Van.Dorn.Metro,Eisenhower_Van.Dorn.Metro,Eisenhower_King.St.Metro,Commonwealth.Ave_King.St.Metro,Commonwealth.Ave_Mt.Vernon.Ave,Mt.Vernon.Ave_Potomac.Yard.Ctr,Lee.Center_Potomac.Yard.Ctr,Van.Dorn.Metro_Yoakum.Pkwy,Beauregard.St_Yoakum.Pkwy,Beauregard.St_Pentagon.Metro,Mark.Center_Menokin.Dr,Menokin.Dr_Shirlington,Glebe.Rd_Shirlington,Glebe.Rd_Potomac.Yd.Ctr,Mark.Center_Park.Place,Park.Place_Shirlington,Temperature,Bus.Size,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,331.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,330.6
0,0,0,4,4,4,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,309.424
0,0,0,0,0,0,0,0,0,2,2,2,4,4,2,0,0,0,2,2,2,1,3,3,3,0,0,5,5,5,5,-1,-1,395.168
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,347.2
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,587.3
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,-1,1,561.1
0,0,0,0,0,0,0,0,0,3,3,3,7,7,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,253.504
0,0,0,0,0,0,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,322.472
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,-1,1,421.5
0,0,0,0,0,0,0,0,0,1,1,1,8,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,409.2
0,0,0,0,0,0,0,0,0,3,3,3,5,5,2,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,547.6
0,0,0,4,4,4,0,0,0,5,5,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,288.92
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,259.096
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,337.1
0,0,0,0,0,0,0,0,0,1,1,1,7,7,6,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,-1,1,480.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,382
0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,3,3,0,0,0,0,2,2,2,0,0,0,0,0,0,-1,-1,203.176
0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,0,0,0,2,2,2,3,0,0,0,0,0,2,2,2,2,-1,-1,244.184
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,297.4
0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,280.3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,1,290.3
0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,-1,-1,305.696
